PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
11 Com b                      , 19.400,       ,    326.0,0.231, 94.8,  0.0,  0.0,1209.5,1017.1, 956.0, 803.9, 10.481, 13.276, 24.285, 25.615
11 UMi b                      , 14.740,       ,    516.2,0.080, 90.0,  0.0,  0.0,1111.3, 934.5,1025.6, 862.5, 12.783, 16.192, 30.355, 32.018
14 And b                      ,  4.800,       ,    185.8,0.000,  0.0,  0.0,  0.0,1003.1, 843.5,1003.1, 843.5,  6.013,  7.617, 13.890, 14.651
14 Her b                      ,  4.660,       ,   1773.4,0.370, 90.0,  0.0,  0.0, 217.2, 182.7, 147.3, 123.9,  0.611,  0.774,  1.384,  1.459
16 Cyg B b                    ,  1.780,       ,    798.5,0.680, 90.0, 21.2, 29.2, 480.8, 404.3, 209.9, 176.5,  0.842,  1.066,  1.881,  1.984
18 Del b                      , 10.300,       ,    993.3,0.080,166.1,  0.0,  0.0, 538.6, 452.9, 497.1, 418.0,  4.958,  6.281, 11.375, 11.998
24 Boo b                      ,  0.910,       ,     30.4,0.042,210.0,  0.0,  0.0,2155.6,1812.6,2066.9,1738.0,  6.068,  7.686, 13.971, 14.736
24 Sex b                      ,  1.990,       ,    452.8,0.090,  9.2,  0.0,  0.0, 587.8, 494.2, 537.0, 451.6,  2.977,  3.771,  6.799,  7.171
24 Sex c                      ,  0.860,       ,    883.0,0.290,220.5,  0.0,  0.0, 532.7, 447.9, 395.2, 332.3,  2.977,  3.771,  6.799,  7.171
2MASS J21402931+1625183 A b   , 20.950,  0.920,   7336.5,0.260,223.0,  0.0,  0.0,  29.1,  24.5,  22.3,  18.8,  0.015,  0.019,  0.039,  0.041
30 Ari B b                    , 13.820,       ,    335.1,0.290, 90.0,  0.0, 23.9, 514.1, 432.3, 381.4, 320.7,  1.229,  1.557,  2.712,  2.860
42 Dra b                      ,  3.880,       ,    479.1,0.380,218.7,  0.0,  0.0,1315.9,1106.5, 882.0, 741.7,  9.398, 11.905, 22.332, 23.555
47 UMa b                      ,  2.530,       ,   1078.0,0.032,334.0, 60.5,100.0, 262.8, 221.0, 254.5, 214.0,  0.954,  1.208,  2.124,  2.240
47 UMa c                      ,  0.540,       ,   2391.0,0.098,295.0,  0.0,  0.0, 207.9, 174.8, 188.4, 158.5,  0.954,  1.208,  2.124,  2.240
47 UMa d                      ,  1.640,       ,  14002.0,0.160,110.0,  0.0,  0.0, 120.0, 100.9, 102.1,  85.9,  0.954,  1.208,  2.124,  2.240
4 UMa b                       ,  7.100,       ,    269.3,0.432, 23.8,  0.0,  0.0,1532.4,1288.6, 965.1, 811.6,  8.483, 10.745, 19.949, 21.041
51 Peg b                      ,  0.472,       ,      4.2,0.013, 58.0,  0.0,  0.0,1595.4,1341.5,1574.8,1324.2,  0.905,  1.146,  2.020,  2.131
55 Cnc b                      ,  0.804,       ,     14.7,0.000,338.5,  0.0,  0.0, 853.8, 717.9, 853.8, 717.9,  0.585,  0.741,  1.332,  1.405
55 Cnc c                      ,  0.161,       ,     44.4,0.030,  2.4,  0.0,  0.0, 599.3, 503.9, 581.5, 489.0,  0.585,  0.741,  1.332,  1.405
55 Cnc d                      ,  3.120,       ,   5574.2,0.130,290.9,  0.0,  0.0, 126.3, 106.2, 110.8,  93.2,  0.585,  0.741,  1.332,  1.405
55 Cnc e                      ,  0.025,  0.167,      0.7,0.050, 86.0,  0.0,  0.0,2373.9,1996.2,2258.0,1898.8,  0.585,  0.741,  1.332,  1.405
55 Cnc f                      ,  0.150,       ,    259.9,0.080,262.4, 68.3,100.0, 341.4, 287.1, 315.1, 265.0,  0.585,  0.741,  1.332,  1.405
61 Vir b                      ,  0.016,       ,      4.2,0.120,105.0,  0.0,  0.0,1492.0,1254.7,1322.6,1112.1,  0.681,  0.862,  1.529,  1.613
61 Vir c                      ,  0.057,       ,     38.0,0.140,341.0,  0.0,  0.0, 725.1, 609.7, 629.8, 529.6,  0.681,  0.862,  1.529,  1.613
61 Vir d                      ,  0.072,       ,    123.0,0.350,314.0,  0.0,  0.0, 563.8, 474.1, 391.2, 329.0,  0.681,  0.862,  1.529,  1.613
6 Lyn b                       ,  2.010,       ,    934.3,0.073,130.0,  0.0,  0.0, 461.6, 388.2, 429.1, 360.8,  2.985,  3.780,  6.858,  7.234
70 Vir b                      ,  7.416,       ,    116.7,0.399,359.8,  0.0,  0.0, 805.5, 677.3, 528.1, 444.0,  1.305,  1.653,  2.939,  3.099
75 Cet b                      ,  3.000,       ,    691.9,0.117,165.0,  0.0,  0.0, 658.5, 553.7, 585.5, 492.3,  5.781,  7.322, 13.335, 14.065
7 CMa b                       ,  1.850,       ,    735.1,0.060,165.3,  0.0,  0.0, 475.1, 399.5, 447.4, 376.2,  2.684,  3.400,  6.198,  6.537
7 CMa c                       ,  0.870,       ,    996.0,0.080,233.5,  0.0,  0.0, 434.0, 364.9, 400.5, 336.8,  2.684,  3.400,  6.198,  6.537
81 Cet b                      ,  5.300,       ,    952.7,0.206,175.0,  0.0,  0.0, 654.3, 550.2, 530.9, 446.4,  6.125,  7.759, 14.166, 14.942
8 UMi b                       ,  1.310,       ,     93.4,0.060, 90.0,  0.0,  0.0,1314.2,1105.1,1237.6,1040.7,  5.719,  7.244, 13.192, 13.915
91 Aqr b                      ,  3.200,       ,    181.4,0.027,177.3,  0.0,  0.0,1074.9, 903.9,1046.3, 879.8,  5.701,  7.221, 13.254, 13.980
alf Ari b                     ,  1.800,       ,    380.8,0.250, 89.2,  0.0,  0.0,1025.9, 862.7, 794.7, 668.2,  6.891,  8.729, 16.103, 16.984
alf Tau b                     ,  6.470,       ,    629.0,0.100,287.0,  0.0,  0.0,1362.1,1145.4,1232.1,1036.0, 18.000, 22.800, 43.077, 45.436
AU Mic b                      ,  0.180,  0.375,      8.5,0.100, 90.0,  0.0,  0.0, 744.3, 625.9, 673.2, 566.1,  0.245,  0.310,  0.596,  0.629
BD+03 2562 b                  ,  6.400,       ,    481.9,0.200,218.0,  0.0,  0.0,1536.8,1292.3,1254.8,1055.1, 18.118, 22.950, 43.273, 45.643
BD-06 1339 b                  ,  0.027,       ,      3.9,0.000,  0.0,  0.0,  0.0, 889.0, 747.6, 889.0, 747.6,  0.248,  0.314,  0.586,  0.618
BD-06 1339 c                  ,  0.170,       ,    125.9,0.310, 41.0, 89.7,100.0, 335.7, 282.3, 243.6, 204.9,  0.248,  0.314,  0.586,  0.618
BD-08 2823 b                  ,  0.040,       ,      5.6,0.150, 90.0,  0.0,  0.0,1030.3, 866.4, 885.8, 744.8,  0.390,  0.494,  0.900,  0.949
BD-08 2823 c                  ,  0.330,       ,    237.6,0.190,127.0,100.0,100.0, 313.5, 263.6, 258.7, 217.5,  0.390,  0.494,  0.900,  0.949
BD-10 3166 b                  ,  0.590,       ,      3.5,0.020, 90.0,  0.0,  0.0,1489.8,1252.8,1460.3,1228.0,  0.609,  0.771,  1.375,  1.451
BD-11 4672 b                  ,  0.650,       ,   1634.0,0.050,343.9,  0.0,  0.0, 139.3, 117.1, 132.5, 111.4,  0.316,  0.401,  0.739,  0.780
BD-11 4672 c                  ,  0.048,       ,     74.2,0.400,245.9, 25.3, 58.3, 491.5, 413.3, 321.7, 270.6,  0.316,  0.401,  0.739,  0.780
BD-13 2130 b                  ,  9.780,       ,    714.3,0.210, 90.0,  0.0,  0.0, 996.3, 837.8, 805.1, 677.0,  9.474, 12.000, 22.144, 23.357
BD+14 4559 b                  ,  1.040,       ,    268.9,0.290, 90.0, 83.3,100.0, 347.5, 292.2, 257.8, 216.8,  0.481,  0.609,  1.108,  1.168
BD+15 2375 b                  ,  1.061,       ,    153.2,0.001, 55.0,  0.0,  0.0,1078.0, 906.5,1077.0, 905.6,  4.848,  6.140, 11.278, 11.896
BD+15 2940 b                  ,  1.110,       ,    137.5,0.260,302.0,  0.0,  0.0,1668.1,1402.7,1278.4,1075.0,  7.997, 10.129, 18.486, 19.498
BD-17 63 b                    ,  5.100,       ,    655.6,0.540,112.2, 13.5, 15.1, 285.6, 240.1, 156.1, 131.2,  0.363,  0.460,  0.843,  0.889
BD+20 2457 b                  , 55.590,       ,    379.6,0.150, 90.0,  0.0,  0.0,2178.3,1831.7,1872.8,1574.8, 31.105, 39.399, 73.697, 77.733
BD+20 2457 c                  , 12.470,       ,    622.0,0.180,126.0,  0.0,  0.0,1603.0,1347.9,1336.2,1123.6, 31.105, 39.399, 73.697, 77.733
BD+20 274 b                   ,  4.200,       ,    578.2,0.210,108.5,  0.0,  0.0,1010.1, 849.4, 816.1, 686.3,  7.687,  9.737, 18.181, 19.176
BD+20 594 b                   ,  0.070,  0.230,     41.7,0.000, 90.0,  0.0,  0.0, 650.3, 546.8, 650.3, 546.8,  0.808,  1.023,  1.805,  1.904
BD+48 738 b                   ,  0.910,       ,    392.6,0.200,358.9,  0.0,  0.0, 979.7, 823.8, 799.9, 672.6,  5.613,  7.110, 13.200, 13.923
BD+48 740 b                   ,  1.700,       ,    733.0,0.760,100.0,  0.0,  0.0,1332.9,1120.8, 492.2, 413.9,  5.277,  6.684, 12.342, 13.017
BD+49 828 b                   ,  1.600,       ,   2590.0,0.350,170.0, 25.9, 59.7, 467.2, 392.9, 324.2, 272.6,  4.267,  5.404,  9.802, 10.339
bet Cnc b                     ,  7.800,       ,    605.2,0.080, 58.9,  0.0,  0.0,1406.1,1182.4,1297.8,1091.3, 22.811, 28.894, 54.490, 57.473
bet UMi b                     ,  6.100,       ,    522.3,0.190,307.4,  0.0,  0.0,1497.4,1259.1,1235.4,1038.8, 18.741, 23.738, 44.691, 47.139
CFBDSIR J145829+101343 b      , 10.500,       ,  10037.5,0.000, 90.0,  0.0,  0.0,   6.6,   5.5,   6.6,   5.5,  0.001,  0.001,  0.003,  0.003
CoRoT-10 b                    ,  2.750,  0.970,     13.2,0.530,218.9,  0.0,  0.0,1161.5, 976.7, 643.7, 541.3,  0.476,  0.603,  1.087,  1.147
CoRoT-11 b                    ,  2.330,  1.430,      3.0,0.000, 90.0,  0.0,  0.0,2069.8,1740.5,2069.8,1740.5,  1.228,  1.555,  2.704,  2.852
CoRoT-12 b                    ,  0.917,  1.440,      2.8,0.070,105.0,  0.0,  0.0,1781.8,1498.3,1661.2,1396.9,  0.816,  1.034,  1.828,  1.928
CoRoT-13 b                    ,  1.308,  0.885,      4.0,0.000, 90.0,  0.0,  0.0,1516.9,1275.6,1516.9,1275.6,  0.795,  1.006,  1.767,  1.864
CoRoT-14 b                    ,  7.600,  1.090,      1.5,0.000, 90.0,  0.0,  0.0,2316.4,1947.9,2316.4,1947.9,  0.976,  1.236,  2.166,  2.284
CoRoT-16 b                    ,  0.535,  1.170,      5.4,0.330,168.4,  0.0,  0.0,1736.7,1460.4,1232.6,1036.5,  0.861,  1.090,  1.929,  2.035
CoRoT-17 b                    ,  2.430,  1.020,      3.8,0.000,  0.0,  0.0,  0.0,1932.8,1625.3,1932.8,1625.3,  1.181,  1.495,  2.640,  2.785
CoRoT-18 b                    ,  3.470,  1.310,      1.9,0.080, 90.0,  0.0,  0.0,1893.3,1592.1,1747.4,1469.4,  0.679,  0.860,  1.531,  1.615
CoRoT-19 b                    ,  1.110,  1.290,      3.9,0.047, 90.0,  0.0,  0.0,2039.0,1714.6,1945.3,1635.8,  1.378,  1.745,  3.054,  3.221
CoRoT-1 b                     ,  1.030,  1.490,      1.5,0.000, 90.0,  0.0,  0.0,2259.3,1899.8,2259.3,1899.8,  0.874,  1.108,  1.945,  2.051
CoRoT-21 b                    ,  2.260,  1.300,      2.7,0.000, 90.0,  0.0,  0.0,2430.9,2044.1,2430.9,2044.1,  1.643,  2.081,  3.634,  3.833
CoRoT-22 b                    ,  0.038,  0.435,      9.8,0.077,210.0,  0.0,  0.0,1247.7,1049.2,1155.0, 971.3,  0.895,  1.134,  1.992,  2.101
CoRoT-23 b                    ,  2.800,  1.050,      3.6,0.160, 52.0,  0.0,  0.0,2137.6,1797.5,1819.0,1529.6,  1.251,  1.585,  2.786,  2.938
CoRoT-24 b                    ,  0.018,  0.330,      5.1,0.000, 90.0,  0.0,  0.0,1112.2, 935.3,1112.2, 935.3,  0.496,  0.628,  1.139,  1.201
CoRoT-24 c                    ,  0.088,  0.440,     11.8,0.000, 90.0,  0.0,  0.0, 840.8, 707.0, 840.8, 707.0,  0.496,  0.628,  1.139,  1.201
CoRoT-25 b                    ,  0.270,  1.080,      4.9,0.000, 90.0,  0.0,  0.0,1571.4,1321.3,1571.4,1321.3,  0.961,  1.217,  2.132,  2.249
CoRoT-26 b                    ,  0.520,  1.260,      4.2,0.000, 90.0,  0.0,  0.0,1869.7,1572.2,1869.7,1572.2,  1.272,  1.611,  2.856,  3.012
CoRoT-27 b                    , 10.390,  1.007,      3.6,0.065, 90.0,  0.0,  0.0,1666.4,1401.3,1561.4,1313.0,  0.839,  1.063,  1.869,  1.971
CoRoT-28 b                    ,  0.484,  0.955,      5.2,0.047,126.0,  0.0,  0.0,1643.4,1381.9,1567.9,1318.4,  1.100,  1.393,  2.507,  2.644
CoRoT-29 b                    ,  0.850,  0.900,      2.9,0.082, 87.0,  0.0,  0.0,1519.9,1278.1,1400.0,1177.3,  0.577,  0.731,  1.309,  1.381
CoRoT-2 b                     ,  3.470,  1.466,      1.7,0.014,102.0,  0.0,  0.0,1852.6,1557.8,1826.3,1535.7,  0.653,  0.828,  1.466,  1.546
CoRoT-30 b                    ,  2.900,  1.009,      9.1,0.007,178.1,  0.0,  0.0,1067.5, 897.6,1060.0, 891.4,  0.658,  0.834,  1.475,  1.556
CoRoT-31 b                    ,  0.840,  1.460,      4.6,0.020,303.6,  0.0,  0.0,1999.7,1681.5,1960.1,1648.2,  1.578,  1.999,  3.533,  3.726
CoRoT-3 b                     , 21.660,  1.010,      4.3,0.000, 90.0,  0.0,  0.0,2020.1,1698.7,2020.1,1698.7,  1.505,  1.907,  3.302,  3.483
CoRoT-4 b                     ,  0.720,  1.190,      9.2,0.000, 90.0,  0.0,  0.0,1279.6,1076.1,1279.6,1076.1,  0.983,  1.245,  2.175,  2.294
CoRoT-5 b                     ,  0.467,  1.388,      4.0,0.090,231.7,  0.0,  0.0,1798.2,1512.1,1643.0,1381.6,  0.976,  1.237,  2.164,  2.283
CoRoT-6 b                     ,  2.960,  1.166,      8.9,0.100, 90.0,  0.0,  0.0,1271.3,1069.0,1149.9, 967.0,  0.835,  1.057,  1.851,  1.952
CoRoT-7 b                     ,  0.013,  0.150,      0.9,0.000, 90.0,  0.0,  0.0,2146.2,1804.8,2146.2,1804.8,  0.535,  0.677,  1.213,  1.279
CoRoT-7 c                     ,  0.026,       ,      3.7,0.000,180.0,  0.0,  0.0,1284.7,1080.3,1284.7,1080.3,  0.535,  0.677,  1.213,  1.279
CoRoT-8 b                     ,  0.220,  0.570,      6.2,0.000, 90.0,  0.0,  0.0,1018.3, 856.3,1018.3, 856.3,  0.465,  0.588,  1.062,  1.120
CoRoT-9 b                     ,  0.840,  1.066,     95.3,0.133, 41.0,  0.0,  0.0, 535.2, 450.0, 468.2, 393.7,  0.689,  0.873,  1.546,  1.631
CoRoTID 223977153 b           ,  0.150,  0.570,      6.7,0.000, 90.0,  0.0,  0.0,1137.0, 956.1,1137.0, 956.1,  0.621,  0.786,  1.379,  1.455
DMPP-1 b                      ,  0.076,       ,     18.6,0.083, 90.0,  0.0,  0.0,1089.1, 915.8,1002.2, 842.7,  1.060,  1.343,  2.346,  2.474
DMPP-1 c                      ,  0.030,       ,      6.6,0.057, 90.0,  0.0,  0.0,1516.8,1275.4,1432.6,1204.7,  1.060,  1.343,  2.346,  2.474
DMPP-1 d                      ,  0.011,       ,      2.9,0.070, 90.0,  0.0,  0.0,2012.9,1692.7,1876.6,1578.0,  1.060,  1.343,  2.346,  2.474
DMPP-1 e                      ,  0.013,       ,      5.5,0.070, 90.0,  0.0,  0.0,1620.7,1362.8,1510.9,1270.5,  1.060,  1.343,  2.346,  2.474
DMPP-2 b                      ,  0.437,       ,      5.2,0.078, 90.0,  0.0,  0.0,1421.3,1195.2,1314.4,1105.3,  0.810,  1.026,  1.782,  1.880
DMPP-3 A b                    ,  0.008,       ,      6.7,0.140, 80.6,  0.0,  0.0,1177.8, 990.4,1023.0, 860.2,  0.560,  0.709,  1.277,  1.347
DS Tuc A b                    ,       ,  0.509,      8.1,0.000, 90.0,  0.0,  0.0,1084.2, 911.7,1084.2, 911.7,  0.652,  0.826,  1.471,  1.552
EPIC 201170410.02             ,       ,  0.093,      6.8,0.000, 90.0,  0.0,  0.0, 592.4, 498.2, 592.4, 498.2,  0.091,  0.115,  0.223,  0.235
EPIC 201757695.02             ,       ,  0.081,      2.0,0.000, 90.0,  0.0,  0.0,1561.3,1312.9,1561.3,1312.9,  0.526,  0.666,  1.230,  1.297
EPIC 201841433 b              ,       ,  0.093,      4.2,0.000, 90.0,  0.0,  0.0,1229.2,1033.6,1229.2,1033.6,  0.377,  0.477,  0.861,  0.909
EPIC 205950854 c              ,       ,  0.117,      8.1,0.000, 90.0,  0.0,  0.0,1047.3, 880.6,1047.3, 880.6,  0.574,  0.728,  1.293,  1.364
EPIC 211822797 b              ,       ,  0.177,     21.2,0.060,338.5,  0.0,  0.0, 511.7, 430.3, 481.9, 405.2,  0.238,  0.301,  0.566,  0.597
EPIC 211945201 b              ,       ,  0.514,     19.5,0.000, 90.0,  0.0,  0.0,1061.8, 892.8,1061.8, 892.8,  1.131,  1.433,  2.509,  2.646
EPIC 212737443 b              ,       ,  0.231,     13.6,0.200, 90.0,  0.0,  0.0, 785.1, 660.2, 641.0, 539.0,  0.350,  0.443,  0.813,  0.857
EPIC 212737443 c              ,       ,  0.240,     65.6,0.200, 90.0,  0.0,  0.0, 464.5, 390.6, 379.2, 318.9,  0.350,  0.443,  0.813,  0.857
EPIC 220674823 b              ,       ,  0.162,      0.6,0.000, 90.0,  0.0,  0.0,2754.2,2316.0,2754.2,2316.0,  0.702,  0.889,  1.575,  1.661
EPIC 220674823 c              ,       ,  0.244,     13.3,0.000, 90.0,  0.0,  0.0, 965.2, 811.7, 965.2, 811.7,  0.702,  0.889,  1.575,  1.661
EPIC 246851721 b              ,  3.000,  1.051,      6.2,0.000, 90.0,  0.0,  0.0,1667.6,1402.3,1667.6,1402.3,  1.340,  1.697,  2.964,  3.127
EPIC 248847494 b              , 13.000,  1.110,   3650.0,0.000, 90.0,  0.0,  0.0, 217.5, 182.9, 217.5, 182.9,  1.527,  1.935,  3.516,  3.708
EPIC 249893012 b              ,  0.028,  0.174,      3.6,0.060,225.0,  0.0,  0.0,1936.9,1628.8,1824.0,1533.8,  1.157,  1.466,  2.611,  2.754
EPIC 249893012 c              ,  0.046,  0.327,     15.6,0.070,217.0,  0.0,  0.0,1170.9, 984.6,1091.6, 917.9,  1.157,  1.466,  2.611,  2.754
EPIC 249893012 d              ,  0.032,  0.352,     35.7,0.150,181.0,  0.0,  0.0, 941.5, 791.7, 809.4, 680.6,  1.157,  1.466,  2.611,  2.754
eps CrB b                     ,  6.700,       ,    417.9,0.110,133.1,  0.0,  0.0,1076.3, 905.0, 963.7, 810.4,  9.799, 12.412, 23.055, 24.317
eps Tau b                     ,  7.600,       ,    594.9,0.151, 94.4,  0.0,  0.0, 812.2, 683.0, 697.5, 586.6,  7.752,  9.819, 17.841, 18.818
G 9-40 b                      ,       ,  0.181,      5.7,0.000,  0.0,  0.0,  0.0, 542.8, 456.4, 542.8, 456.4,  0.085,  0.107,  0.210,  0.221
gam 1 Leo b                   ,  8.780,       ,    428.5,0.144,206.7,  0.0,  0.0,1388.9,1167.9,1201.4,1010.3, 14.402, 18.242, 34.006, 35.868
gam Lib b                     ,  1.020,       ,    415.2,0.210,187.0,  0.0,  0.0, 970.7, 816.3, 784.4, 659.6,  6.644,  8.416, 15.342, 16.182
gam Lib c                     ,  4.580,       ,    964.6,0.057,146.0,  0.0,  0.0, 671.7, 564.8, 634.4, 533.5,  6.644,  8.416, 15.342, 16.182
GJ 1061 b                     ,  0.004,       ,      3.2,0.310,145.0,  0.0,  0.0, 558.6, 469.7, 405.4, 340.9,  0.034,  0.043,  0.086,  0.090
GJ 1061 c                     ,  0.005,       ,      6.7,0.290, 88.0, 27.1, 62.7, 426.5, 358.7, 316.4, 266.1,  0.034,  0.043,  0.086,  0.090
GJ 1061 d                     ,  0.005,       ,     13.0,0.530,157.0, 78.1, 86.7, 422.1, 354.9, 233.9, 196.7,  0.034,  0.043,  0.086,  0.090
GJ 1132 b                     ,  0.005,  0.101,      1.6,0.220, 90.0,  0.0,  0.0, 779.8, 655.7, 623.5, 524.3,  0.054,  0.069,  0.135,  0.142
GJ 1132 c                     ,  0.008,       ,      8.9,0.270, 90.0,  0.0, 40.1, 457.0, 384.3, 346.5, 291.4,  0.054,  0.069,  0.135,  0.142
GJ 1148 b                     ,  0.304,       ,     41.4,0.380,258.1, 71.3, 86.5, 388.3, 326.5, 260.2, 218.8,  0.116,  0.147,  0.289,  0.304
GJ 1148 c                     ,  0.214,       ,    532.6,0.342,210.4,  0.0,  0.0, 160.8, 135.2, 112.6,  94.7,  0.116,  0.147,  0.289,  0.304
GJ 1214 b                     ,  0.020,  0.254,      1.6,0.000, 90.0,  0.0,  0.0, 685.1, 576.1, 685.1, 576.1,  0.050,  0.063,  0.125,  0.132
GJ 1252 b                     ,  0.007,  0.106,      0.5,0.000, 90.0,  0.0,  0.0,1294.7,1088.7,1294.7,1088.7,  0.115,  0.145,  0.282,  0.298
GJ 1265 b                     ,  0.023,       ,      3.7,0.040,282.0,  0.0,  0.0, 514.9, 433.0, 494.7, 416.0,  0.049,  0.063,  0.123,  0.130
GJ 143 b                      ,  0.071,  0.233,     35.6,0.188, 98.0,  0.0,  0.0, 565.9, 475.9, 467.9, 393.4,  0.361,  0.457,  0.841,  0.887
GJ 15 A b                     ,  0.010,       ,     11.4,0.094, 55.0,  0.0,  0.0, 500.2, 420.6, 455.2, 382.8,  0.122,  0.154,  0.297,  0.314
GJ 15 A c                     ,  0.113,       ,   7600.0,0.270,301.6,  0.0,  0.0,  64.3,  54.1,  48.8,  41.0,  0.122,  0.154,  0.297,  0.314
GJ 160.2 b                    ,  0.032,       ,      5.2,0.060,360.0,  0.0,  0.0, 938.5, 789.2, 883.8, 743.2,  0.321,  0.407,  0.758,  0.800
GJ 163 b                      ,  0.033,       ,      8.6,0.073, 70.7,  0.0,  0.0, 522.4, 439.3, 485.6, 408.3,  0.114,  0.145,  0.282,  0.297
GJ 163 c                      ,  0.021,       ,     25.6,0.099,227.0,  0.0, 85.7, 368.7, 310.0, 333.8, 280.7,  0.114,  0.145,  0.282,  0.297
GJ 163 d                      ,  0.093,       ,    604.0,0.373,118.3,  0.0,  0.0, 154.2, 129.6, 104.2,  87.6,  0.114,  0.145,  0.282,  0.297
GJ 179 b                      ,  0.820,       ,   2288.0,0.210,153.0,  0.0,  0.0,  85.4,  71.8,  69.0,  58.0,  0.104,  0.131,  0.257,  0.271
GJ 251 b                      ,  0.013,       ,     14.2,0.100, 78.8,  0.0,  0.0, 440.2, 370.1, 398.2, 334.8,  0.106,  0.135,  0.262,  0.277
GJ 27.1 b                     ,  0.041,       ,     15.8,0.080,150.0,  0.0,  0.0, 436.3, 366.9, 402.7, 338.6,  0.132,  0.167,  0.324,  0.341
GJ 273 b                      ,  0.009,       ,     18.6,0.100, 90.0, 28.7,100.0, 354.2, 297.8, 320.4, 269.4,  0.077,  0.097,  0.190,  0.200
GJ 273 c                      ,  0.004,       ,      4.7,0.170, 90.0,  0.0,  0.0, 583.0, 490.2, 491.0, 412.9,  0.077,  0.097,  0.190,  0.200
GJ 3021 b                     ,  3.370,       ,    133.7,0.511,290.7,  0.0, 46.7, 610.1, 513.0, 347.1, 291.8,  0.619,  0.784,  1.391,  1.467
GJ 3138 b                     ,  0.006,       ,      1.2,0.190, 90.0,  0.0,  0.0,1207.5,1015.4, 996.3, 837.8,  0.173,  0.219,  0.421,  0.444
GJ 3138 c                     ,  0.013,       ,      6.0,0.110, 90.0,  0.0,  0.0, 677.2, 569.5, 606.4, 509.9,  0.173,  0.219,  0.421,  0.444
GJ 3138 d                     ,  0.033,       ,    257.8,0.320, 90.0,  0.0,  0.0, 221.4, 186.2, 158.9, 133.6,  0.173,  0.219,  0.421,  0.444
GJ 3293 b                     ,  0.074,       ,     30.6,0.060, 90.0,  0.0,100.0, 347.4, 292.1, 327.1, 275.1,  0.121,  0.154,  0.299,  0.315
GJ 3293 c                     ,  0.066,       ,    122.6,0.110, 90.0,  0.0,  0.0, 224.8, 189.0, 201.3, 169.2,  0.121,  0.154,  0.299,  0.315
GJ 3293 d                     ,  0.024,       ,     48.1,0.120, 90.0,100.0,100.0, 308.7, 259.6, 273.6, 230.1,  0.121,  0.154,  0.299,  0.315
GJ 3293 e                     ,  0.010,       ,     13.3,0.210, 90.0,  0.0,  0.0, 500.8, 421.2, 404.7, 340.3,  0.121,  0.154,  0.299,  0.315
GJ 3323 b                     ,  0.006,       ,      5.4,0.230, 90.0,  0.0,  0.0, 474.9, 399.3, 375.7, 315.9,  0.043,  0.054,  0.107,  0.112
GJ 3323 c                     ,  0.007,       ,     40.5,0.170, 90.0, 10.7, 23.5, 233.1, 196.0, 196.3, 165.1,  0.043,  0.054,  0.107,  0.112
GJ 3341 b                     ,  0.021,       ,     14.2,0.310, 42.3,  0.0,  0.0, 551.5, 463.7, 400.2, 336.5,  0.139,  0.176,  0.342,  0.361
GJ 338 B b                    ,  0.032,       ,     24.5,0.110,204.3,  0.0,  0.0, 496.1, 417.2, 444.2, 373.6,  0.228,  0.289,  0.548,  0.578
GJ 3470 b                     ,  0.044,  0.408,      3.3,0.000, 90.0,  0.0,  0.0, 812.5, 683.2, 812.5, 683.2,  0.174,  0.221,  0.427,  0.450
GJ 3473 b                     ,  0.006,  0.113,      1.2,0.000, 90.0,  0.0,  0.0, 919.5, 773.2, 919.5, 773.2,  0.100,  0.127,  0.249,  0.262
GJ 3473 c                     ,  0.023,       ,     15.5,0.000, 90.0,  0.0,  0.0, 391.6, 329.3, 391.6, 329.3,  0.100,  0.127,  0.249,  0.262
GJ 3512 b                     ,  0.463,       ,    203.6,0.436,125.5,  0.0,  0.0, 151.0, 126.9,  94.7,  79.6,  0.033,  0.041,  0.082,  0.086
GJ 357 b                      ,  0.006,  0.109,      3.9,0.000, 90.0,  0.0,  0.0, 628.9, 528.9, 628.9, 528.9,  0.103,  0.131,  0.254,  0.268
GJ 357 c                      ,  0.011,       ,      9.1,0.000, 90.0,  0.0,  0.0, 476.4, 400.6, 476.4, 400.6,  0.103,  0.131,  0.254,  0.268
GJ 357 d                      ,  0.019,       ,     55.7,0.000, 90.0,100.0,100.0, 260.5, 219.1, 260.5, 219.1,  0.103,  0.131,  0.254,  0.268
GJ 3779 b                     ,  0.025,       ,      3.0,0.070,225.0,  0.0,  0.0, 650.0, 546.6, 606.0, 509.6,  0.076,  0.097,  0.189,  0.200
GJ 3942 b                     ,  0.022,       ,      6.9,0.121,112.7,  0.0,  0.0, 751.9, 632.3, 665.8, 559.9,  0.224,  0.284,  0.541,  0.571
GJ 3998 b                     ,  0.008,       ,      2.6,0.000, 90.0,  0.0,  0.0, 875.3, 736.1, 875.3, 736.1,  0.165,  0.209,  0.402,  0.424
GJ 3998 c                     ,  0.020,       ,     13.7,0.049, 90.0,  0.0,  0.0, 512.4, 430.9, 487.9, 410.2,  0.165,  0.209,  0.402,  0.424
GJ 411 b                      ,  0.008,       ,     12.9,0.120,140.7,  0.0,  0.0, 469.7, 395.0, 416.4, 350.1,  0.114,  0.144,  0.279,  0.295
