PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
Kepler-271 b                  ,       ,  0.110,     10.4,0.000, 90.0,  0.0,  0.0, 989.0, 831.7, 989.0, 831.7,  0.612,  0.775,  1.375,  1.450
Kepler-271 c                  ,       ,  0.085,      7.4,0.000, 90.0,  0.0,  0.0,1108.5, 932.2,1108.5, 932.2,  0.612,  0.775,  1.375,  1.450
Kepler-271 d                  ,       ,  0.059,      5.2,0.000, 90.0,  0.0,  0.0,1243.5,1045.7,1243.5,1045.7,  0.612,  0.775,  1.375,  1.450
Kepler-272 b                  ,       ,  0.128,      3.0,0.000, 90.0,  0.0,  0.0,1502.5,1263.4,1502.5,1263.4,  0.603,  0.764,  1.367,  1.442
Kepler-272 c                  ,       ,  0.160,      6.1,0.000, 90.0,  0.0,  0.0,1185.9, 997.2,1185.9, 997.2,  0.603,  0.764,  1.367,  1.442
Kepler-272 d                  ,       ,  0.201,     10.9,0.000, 90.0,  0.0,  0.0, 970.9, 816.4, 970.9, 816.4,  0.603,  0.764,  1.367,  1.442
Kepler-273 b                  ,       ,  0.134,      2.9,0.000, 90.0,  0.0,  0.0,1509.3,1269.1,1509.3,1269.1,  0.582,  0.737,  1.305,  1.376
Kepler-273 c                  ,       ,  0.177,      8.0,0.000, 90.0,  0.0,  0.0,1074.5, 903.5,1074.5, 903.5,  0.582,  0.737,  1.305,  1.376
Kepler-274 b                  ,       ,  0.137,     11.6,0.000, 90.0,  0.0,  0.0,1092.0, 918.3,1092.0, 918.3,  0.812,  1.028,  1.802,  1.901
Kepler-274 c                  ,       ,  0.164,     33.2,0.000, 90.0,  0.0,  0.0, 768.4, 646.1, 768.4, 646.1,  0.812,  1.028,  1.802,  1.901
Kepler-275 b                  ,       ,  0.209,     10.3,0.000, 90.0,  0.0,  0.0,1326.4,1115.4,1326.4,1115.4,  1.152,  1.459,  2.550,  2.690
Kepler-275 c                  ,       ,  0.302,     16.1,0.000, 90.0,  0.0,  0.0,1142.9, 961.1,1142.9, 961.1,  1.152,  1.459,  2.550,  2.690
Kepler-275 d                  ,       ,  0.297,     35.7,0.000, 90.0,  0.0,  0.0, 877.4, 737.8, 877.4, 737.8,  1.152,  1.459,  2.550,  2.690
Kepler-276 b                  ,       ,  0.256,     14.1,0.000, 90.0,  0.0,  0.0,1039.8, 874.3,1039.8, 874.3,  0.863,  1.093,  1.912,  2.017
Kepler-278 b                  ,       ,  0.363,     30.2,0.000, 90.0,  0.0,  0.0,1078.5, 906.9,1078.5, 906.9,  1.720,  2.178,  3.943,  4.159
Kepler-278 c                  ,       ,  0.320,     51.1,0.000, 90.0,  0.0,  0.0, 904.9, 761.0, 904.9, 761.0,  1.720,  2.178,  3.943,  4.159
Kepler-279 b                  ,       ,  0.323,     12.3,0.000, 90.0,  0.0,  0.0,1442.1,1212.7,1442.1,1212.7,  1.538,  1.948,  3.392,  3.577
Kepler-27 b                   ,  9.110,  0.357,     15.3,0.000, 90.0,  0.0,  0.0, 692.3, 582.2, 692.3, 582.2,  0.395,  0.501,  0.893,  0.942
