"DateTime";"Nedbør"
"2020-02-01 00:00:00";0,7
"2020-02-02 00:00:00";0
"2020-02-03 00:00:00";2,2
"2020-02-04 00:00:00";0,6
"2020-02-05 00:00:00";0
"2020-02-06 00:00:00";0,1
"2020-02-07 00:00:00";0
"2020-02-08 00:00:00";0,4
"2020-02-09 00:00:00";21,3
"2020-02-10 00:00:00";5,5
"2020-02-11 00:00:00";11,4
"2020-02-12 00:00:00";4,9
"2020-02-13 00:00:00";0,9
"2020-02-14 00:00:00";0,1
"2020-02-15 00:00:00";2,7
"2020-02-16 00:00:00";20
"2020-02-17 00:00:00";3,9
"2020-02-18 00:00:00";5,5
"2020-02-19 00:00:00";3,7
"2020-02-20 00:00:00";11,3
"2020-02-21 00:00:00";1,1
"2020-02-22 00:00:00";11,2
"2020-02-23 00:00:00";3,4
"2020-02-24 00:00:00";2,7
"2020-02-25 00:00:00";14,3
"2020-02-26 00:00:00";6,6
"2020-02-27 00:00:00";0,1
"2020-02-28 00:00:00";0,9
"2020-02-29 00:00:00";7,2
