"DateTime";"Luftfugtighed"
"2020-06-01 00:00:00";63
"2020-06-02 00:00:00";63,6
"2020-06-03 00:00:00";68,7
"2020-06-04 00:00:00";76,2
"2020-06-05 00:00:00";77,4
"2020-06-06 00:00:00";78,6
"2020-06-07 00:00:00";75,2
"2020-06-08 00:00:00";79,4
"2020-06-09 00:00:00";73,1
"2020-06-10 00:00:00";73,8
"2020-06-11 00:00:00";60,5
"2020-06-12 00:00:00";76,8
"2020-06-13 00:00:00";84,2
"2020-06-14 00:00:00";65
"2020-06-15 00:00:00";62,8
"2020-06-16 00:00:00";60,1
"2020-06-17 00:00:00";75,5
"2020-06-18 00:00:00";78,6
"2020-06-19 00:00:00";88,7
"2020-06-20 00:00:00";88,6
"2020-06-21 00:00:00";73,9
"2020-06-22 00:00:00";75,2
"2020-06-23 00:00:00";72,2
"2020-06-24 00:00:00";72,8
"2020-06-25 00:00:00";72,3
"2020-06-26 00:00:00";75,5
"2020-06-27 00:00:00";80,8
"2020-06-28 00:00:00";81,4
"2020-06-29 00:00:00";73,9
"2020-06-30 00:00:00";88,1
